frame,definition,example
f:Expansion,"An <em>Item</em> changes its physical size.  The <em>Size_change</em> of an <em>Item</em> may be explicitly indicated or characterized in terms of <em>Initial_size</em> and/or <em>Result_size</em>.  In the default case, expansion is along all dimensions, but sometimes the <em>Dimension</em> of expansion is incorporated or made explicit.",<p class='list-group-item'>The pile of leaves  had <span id='phrase_example'>shrunk</span>  by about half   after the first haul .</p><p class='list-group-item'></p><p class='list-group-item'> The jeans  <span id='phrase_example'>stretched</span>  a little .</p>
f:Transition_to_state,"An <em>Entity</em> ends up in a <em>Final_category</em>, <em>Final_situation</em>, or <em>Final_quality</em> which it was not in before.  Some members of the frame (e.g. <m>grow.v</m>) tend to emphasize a gradual change, while most members of the frame do not indicate whether a change is gradual or not.","<p class='list-group-item'>Why   I  <span id='phrase_example'>became</span>  an Emacs user </p><p class='list-group-item'></p><p class='list-group-item'> I  left the ministry and <span id='phrase_example'>became</span>  an atheist .</p><p class='list-group-item'></p><p class='list-group-item'>Surprisingly,  various veteran organizations  also <span id='phrase_example'>turned</span>  vehemently antiwar .</p><p class='list-group-item'></p><p class='list-group-item'>  Over the years   she  <span id='phrase_example'>grew</span>  to hate him .</p>"
f:Cause_expansion,"An  <em>Agent</em> or non-human <em>Cause</em> causes an <em>Item</em> to change its physical size.  The <em>Size_change</em> of an <em>Item</em> may be explicitly indicated or characterized in terms of <em>Initial_size</em> and/or <em>Result_size</em>.  In the default case, expansion is along all dimensions, but sometimes the <em>Dimension</em> of expansion is incorporated or made explicit.","<p class='list-group-item'>If the design crashes too often, then try <span id='phrase_example'>lengthening</span>  the wings   by a few centimeters ,  to perhaps 30cm total .   CNI   INI   </p><p class='list-group-item'></p><p class='list-group-item'>As the juice churned with natural process of changing into wine,  the gas it created  would <span id='phrase_example'>expand</span>  the balloon , and when the balloon eventually deflated, it was ready to drink.</p>"
f:Justifying,"An <em>Agent</em> has done or omitted to do an <em>Act</em> or is responsible for the obtaining of a <em>State_of_affairs</em>, which a <em>Judge</em> deems to constitute a violation of an obligation or a moral guideline. The <em>Agent</em> gives a <em>Reason</em> why the <em>Act</em> or omission or <em>State_of_affairs</em> was licit despite appearances. NOTE: There is a consistent metaphorical conception of justifying as defending.  Words in the defending frame can also be used in the justifying frame.",<p class='list-group-item'>Kim  failed to  fully  <span id='phrase_example'>justify</span>  his decision .</p>
f:Defending,"A <em>Defender</em> responds to an <em>Assailant</em>'s attack on a <em>Victim</em> by directly, and usually violently, countering it.","<p class='list-group-item'>Samantha   stalwartly  <span id='phrase_example'>defended</span>  the gateway   from the wraiths ,  crouching low over Stephen's prone form .</p>"
f:Activity_ongoing,An <em>Agent</em> is performing the portion of an <em>Activity</em> in which there is dynamic stability.,"<p class='list-group-item'>Not noticing the hoards of people rushing by the window,  Manny  <span id='phrase_example'>continued</span>  eating his lunch .</p><p class='list-group-item'></p><p class='list-group-item'><span id='phrase_example'>Keep</span>  living the dream !</p>"
f:Transfer,This frame involves a <em>Donor</em> transferring a <em>Theme</em> to a <em>Recipient</em>.,<p class='list-group-item'>I  <span id='phrase_example'>transferred</span>  $20   to his account .</p>
f:Intentionally_create,"The <em>Creator</em> creates a new entity, the <em>Created_entity</em>, possibly out of <em>Components</em>.",<p class='list-group-item'>The Libyans  were <span id='phrase_example'>generating</span>  arms   for export .</p>
f:Existence,"An Entity is declared to exist, generally irrespective of its position or even the possibility of its position being specified. <em>Time</em>, <em>Duration</em>, <em>Inherent_purpose</em>, and <em>State</em> may also be mentioned. This frame is to be contrasted with Presence, which describes the existence of an Entity in a particular (and salient) spacio-temporal context, and which also entails the presence of an observer who can detect the existence of the Entity in that context.","<p class='list-group-item'>Finally ,  Poland  ceased to <span id='phrase_example'>exist</span>  as a state   for hundreds of years .</p><p class='list-group-item'> Such laws  <span id='phrase_example'>exist</span>  to prevent exactly this kind of fraud .</p><p class='list-group-item'><span id='phrase_example'>There</span> <span id='phrase_example'>IS</span>  a Santa Claus !</p>"
f:Take_place_of,"A <em>New</em> filler occupies a <em>Role</em> or serves a <em>Function</em> after the <em>Old</em> filler ceases to occupy the position.  In many cases, the <em>Role</em> or <em>Function</em> is implicit.","<p class='list-group-item'>Gas  can <span id='phrase_example'>substitute</span>  entirely   for petrol .</p><p class='list-group-item'>Sometime in the 1880s  gas  <span id='phrase_example'>replaced</span>  oil   for manufacturing fuel .</p><p class='list-group-item'> Twelve years later ,  oil  <span id='phrase_example'>replaced</span>  coal   as the energy of choice .</p><p class='list-group-item'> Honey  can <span id='phrase_example'>replace</span>  sugar   in this recipe .</p>"
f:Inclusion,"A <em>Total</em> has a <em>Part</em>, either  as a member of an aggregate or as  a constituent part of a simple entity.",<p class='list-group-item'>His collection  <span id='phrase_example'>included</span>  two El Grecos .</p>
f:Publishing,"A <em>Publisher</em> makes a <em>Work</em> of an <em>Author</em> (or authors) available to some public <em>Audience</em> for general enjoyment, examination, and reference. The <em>Medium</em> of a <em>Work</em> can vary; examples include books, TV programs, movies, and radio shows. Publication normally involves a number of other events, such as editing and advertising of the <em>Work</em>, and mass production and sales of a represenation of the <em>Work</em>; thus in the most elaborated version of publication, there are a number of other potential roles, such as editor, publicist/advertizer, distributor, printer, etc., but none of these show up as separate, syntactically distinguished roles for the LUs in this frame.",<p class='list-group-item'>Doubleday  is <span id='phrase_example'>publishing</span>  my newest novel   next week .</p><p class='list-group-item'> I  'm <span id='phrase_example'>publishing</span>  my next one   with Random House  .</p>
f:Distributed_position,"This frame involves a static (primarily spatial) relationship between a <em>Location</em> and a <em>Theme</em>, in which the <em>Theme</em> is located in many or all subregions of the <em>Location</em>, and is thus construable as covering it. The <em>Time</em> when the covering configuration holds, and the <em>Subregion</em> of the <em>Location</em> that is involved may, optionally, be indicated.","<p class='list-group-item'>By Summer ,  weeds  <span id='phrase_example'>dotted</span>  the field  .</p><p class='list-group-item'> The papers  <span id='phrase_example'>around</span>  my office  were too messy .</p><p class='list-group-item'>Prepositional and verb targets of this frame differ in the ways they can participate in forming sentences; one of the most important differences is that prepositions may modify the entire sentence to describe the event (the <fen>Theme</fen>) as distributed over the <fen>Location</fen>.</p><p class='list-group-item'> Puddles were rippling  <span id='phrase_example'>all over</span>  the roof  .</p><p class='list-group-item'></p><p class='list-group-item'>I hope  my wallet  <m>is</m> <span id='phrase_example'>around</span>  here  ( somewhere ) .</p><p class='list-group-item'></p><p class='list-group-item'> I  kept <m>walking</m> <span id='phrase_example'>around</span>  my apartment  .</p><p class='list-group-item'></p><p class='list-group-item'>Filling: Pat <span id='phrase_example'>covered</span> the table with flowers. </p><p class='list-group-item'>Distributed_position:  Flowers  <span id='phrase_example'>covered</span>  the table . </p><p class='list-group-item'> The tree  was <span id='phrase_example'>studded</span>  all over   with soft dark fruit .</p>"
f:Limitation,An <em>Entity</em> that would be expected to have a characteristic to a certain degree (typically based on comparison to other entities of the same type) instead has a more limited degree of that characteristic.,<p class='list-group-item'>The <span id='phrase_example'>limitations</span> on the theory's applicability made it unpopular in its time.</p><p class='list-group-item'></p><p class='list-group-item'>Are there any undocumented <span id='phrase_example'>limitations</span> on the use of this machine?</p>
f:Limiting,"An <em>Agent</em> or <em>Cause</em> limits a <em>Range_of_options</em> to having a certain <em>Characteristic</em>. The <em>Characteristic</em> may be that only certain types of the <em>Range_of_options</em> may be acceptable, or (in the case of a plural or mass <em>Range_of_options</em>) that only certain cardinalities or quanties are acceptable. Alternatively, the <em>Degree</em> to which the <em>Range_of_options</em> is limited may be mentioned.",<p class='list-group-item'>His choices in life  have <span id='phrase_example'>limited</span>  his opportunities   severely .</p><p class='list-group-item'></p><p class='list-group-item'> Treatment  was <span id='phrase_example'>limited</span>  to one pill per day .  CNI</p>
f:Preventing_or_letting,"A <em>Potential_hindrance</em> or an <em>Agent</em> (via their actions) keeps an <em>Event</em> from taking place, or despite the possibility of prevent the <em>Event</em>, do not do so. Lexical units which indicate that the event is not prevented, e.g. allow.v, are marked with the semantic type Negative.  Some lexical units, like <t>avert</t> and <t>avoid</t> indicate that the <em>Potential_hindrance</em> or <em>Agent</em> would have been affected if the <em>Event</em> occurred.","<p class='list-group-item'>Rain  <span id='phrase_example'>prevented</span>  the ball game   from taking place . </p><p class='list-group-item'></p><p class='list-group-item'>  He  could have <span id='phrase_example'>stopped</span>  the riot  .</p><p class='list-group-item'></p><p class='list-group-item'>  The government  narrowly <span id='phrase_example'>averted</span>  a coup  . </p><p class='list-group-item'> She  <span id='phrase_example'>allowed</span>  more than a few mistakes   to happen  .</p><p class='list-group-item'> Technology  has <span id='phrase_example'>permitted</span>  firms   to link together more closely .</p><p class='list-group-item'>Unlike DOS ,  Windows  <span id='phrase_example'>lets</span>  you   get on with something else   when sending a fax .</p><p class='list-group-item'> Liberalization  <span id='phrase_example'>allows</span>  easier entry into particular markets  .</p><p class='list-group-item'> Mesh  <span id='phrase_example'>allows</span>  the water   to circulate normally through the aquarium .</p>"
f:Avoiding,"An <em>Agent</em> avoids an <em>Undesirable_situation</em> under certain <em>Circumstances</em>. That situation may be an activity (e.g. going to school), or an entity (perhaps) metonymic for such an activity or situation (e.g. the curb).  In this frame, the situation is undesirable from the <em>Agent</em>'s point of view (e.g. <ment>evade</ment>), and contrasts with scenes in which the situation is specifically undesirable to someone else (e.g. <ment>forbear</ment>) or from the point of view of an external morality (e.g. <ment>abstain</ment>).",<p class='list-group-item'>Mike  <span id='phrase_example'>avoided</span>  his supervisor   at all costs .</p>
f:Prohibiting_or_licensing,"In this frame a <em>State_of_affairs</em> is prohibited (or allowed) by a <em>Principle</em>. Raising constructions are common in this frame. Because laws and principles usually focus on what is not allowed, the words of this frame that are synonyms of prohibit.v are considered more basic, and the words that are synonyms of permit.v are marked with the semantic type Negative.",<p class='list-group-item'>Guns  were <span id='phrase_example'>prohibited</span>  in the airport  . </p><p class='list-group-item'>  Code 1425  <span id='phrase_example'>bans</span>  large trucks   in the tunnel .</p><p class='list-group-item'>  Children  were not <span id='phrase_example'>permitted</span>  in the office .  CNI  </p><p class='list-group-item'>  Code 1425  <span id='phrase_example'>allows</span>  us   to deduct interest payments .</p><p class='list-group-item'> No religion  <span id='phrase_example'>accepts</span>  discrimination against women .</p>
f:Prevent_or_allow_possession,"An <em>Agent</em> or <em>Potential_hindrance</em> keeps a <em>Protagonist</em> from having a <em>State_of_affairs</em> that they need or desire, or, despite the possibility of preventing the possession, they allow the <em>Protagonist</em> to have the <em>State_of_affairs</em>.",<p class='list-group-item'>His parents  <span id='phrase_example'>deprived</span>  him   of food   for days on end .</p><p class='list-group-item'></p><p class='list-group-item'> Our lonely city  <span id='phrase_example'>starves</span>  us   of original live music .</p><p class='list-group-item'></p><p class='list-group-item'> Employees  were <span id='phrase_example'>denied</span>  overtime pay and meal breaks .  CNI   </p><p class='list-group-item'><span id='phrase_example'>Allow</span>  me   just one more cupcake  !  CNI</p>
f:Endeavor_failure,"Some individual or group ceases to be able to sustain an <em>Endeavor</em> (a long-term activity involving economic interaction with the public, often a business venture). Unlike Business_failure and Locale_closure, the <em>Endeavor</em> need not refer to an organization or business tied to a specific location or locations.",<p class='list-group-item'>Exxon  <span id='phrase_example'>went under</span>.</p>
f:Process_continue,"An <em>Event</em> continues at a certain <em>Place</em> through <em>Time</em>.  (Note that often when 'continue.v' occurs with definite time points, it denotes Resumption, which is out of frame here.)",<p class='list-group-item'>Pyongyang agreed to suspend its withdrawal while  talks  <span id='phrase_example'>continued</span>  with Washington .</p><p class='list-group-item'></p><p class='list-group-item'> Missions and different plans  <span id='phrase_example'>proceed</span>  according to Islamic law provision .</p>
f:Questioning,The words in this frame have to do with a <em>Speaker</em> asking an <em>Addressee</em> a question which calls for a reply (as opposed to making a request which calls for an action on the part of the <em>Addressee</em>).,<p class='list-group-item'>We  <span id='phrase_example'>asked</span>  Ruby   what kind of food they ate .</p><p class='list-group-item'></p><p class='list-group-item'> Yeats  was able to <span id='phrase_example'>interrogate</span>  the spirit world   about his relationship with Maude .</p>
f:Sign,"A phenomenon, the <em>Indicator</em>, exists as an indication of another phenomenon, the <em>Indicated</em>. The relationship is asymmetric: the <em>Indicated</em> is not necessarily a sign for the existence or presence of an <em>Indicator</em>. The <em>Indicated</em> can be a past, present, or future entity or eventuality. The relationship between <em>Indicator</em> and <em>Indicated</em> is not one of symbolization or iconicity. Rather the <em>Indicator</em> is an index of the <em>Indicated</em>.",<p class='list-group-item'>This  is a <span id='phrase_example'>sign</span>  of things to come .</p>
f:Controller_object,"This frame contains items which, when manipulated, alter the function of some device, internal or external.",<p class='list-group-item'>This  <span id='phrase_example'>button</span>   makes the radio turn on .</p>
f:Discussion,"Two (or more) people (the <em>Interlocutors</em>, also encodable as <em>Interlocutor_1</em> and <em>Interlocutor_2</em>) talk to one another. No person is construed as only a speaker or only an addressee. Rather, it is understood that both (or all) participants do some speaking and some listening--the process is understood to be symmetrical or reciprocal.  This frame differs from the Chatting frame in that the <em>Interlocutors</em> have a particular question that they are attempting to decide or understand.",<p class='list-group-item'>I  would rather <span id='phrase_example'>discuss</span>  politics   with anyone but him . </p><p class='list-group-item'></p><p class='list-group-item'> World leaders  met to <span id='phrase_example'>discuss</span>  global warming   on the coldest day of the year.</p>
f:Talking_into,A <em>Speaker</em> expresses through language his wish to get the <em>Addressee</em> to act.  The <em>Addressee</em> forms an intention to act and does so.,"<p class='list-group-item'>You think  I  <span id='phrase_example'>talked</span>  Peter   into giving me those earrings , don't you?</p><p class='list-group-item'></p><p class='list-group-item'>Don't let  a shop assistant  <span id='phrase_example'>talk</span>  you   into buying a so-called orthopaedic bed  -- there's no such thing.</p>"
f:Chatting,"A group of people (the <em>Interlocutors</em> or <em>Interlocutor_1</em> and <em>Interlocutor_2</em> together) have a conversation.  No person is construed as only a speaker or only an addressee. Rather, it is understood that both (or all) participants do some speaking and some listening--the process is understood to be symmetrical or reciprocal.  In this frame, the purpose of the conversation is generally social, rather than specifically to decide something or exchange information, or to quarrel (see Discussion and Quarreling).","<p class='list-group-item'>If you ain't got nothin' better to do,  I  'd like to <span id='phrase_example'>shoot</span> <span id='phrase_example'>the</span> <span id='phrase_example'>breeze</span>  with you   for a couple .</p><p class='list-group-item'> We  used to <span id='phrase_example'>chat</span>  about everything .</p>"
f:Morality_evaluation,In this frame an <em>Evaluee</em> is described by a (usually implicit) <em>Judge</em> with respect to the morality or rightness of his or her <em>Behavior</em>.,<p class='list-group-item'>That was  very  <span id='phrase_example'>righteous</span>  of you   to help him .</p>
f:Store,A <em>Supply</em> of a <em>Resource</em> is kept safe and available for a future <em>Use</em>.  The <em>Supply</em> may be under the control of a <em>Possessor</em>.,<p class='list-group-item'>Our  <span id='phrase_example'>supply</span>  of food  is running low.</p>
f:Documents,Words in the frame refer to any <em>Document</em> that has a legal status or conventional social significance.  Some <em>Document</em>s empower the <em>Bearer</em> of the <em>Document</em> to execute the <em>Right</em>.  Others indicate the <em>Obligation</em> of the <em>Bearer</em>.  Still others show the identity or <em>Status</em> of the <em>Bearer</em>.,<p class='list-group-item'>They got  their   marriage   <span id='phrase_example'>licence</span>   from Canada .</p>
f:Be_in_agreement_on_action,"Two (or more) people (the <em>Parties</em>, also encodable as <em>Party_1</em> and <em>Party_2</em>) have an agreement. Both sides are construed as having a commitment to an <em>Obligation</em>--the relationship is understood to be symmetrical or reciprocal. Instead of a specific mention of the <em>Obligation</em>, a <em>Topic</em> expression may be used to indicate the domain covered.",<p class='list-group-item'>The US and Russia  have an <span id='phrase_example'>agreement</span>  to share early warning data on missile launches .</p>
f:Creating,A <em>Cause</em> leads to the formation of a <em>Created_entity</em>.,<p class='list-group-item'>Dr. Frankenstein  <span id='phrase_example'>created</span>  a monster .</p>
f:Sentencing,"During a court appearance, a <em>Sentence</em>, generally a punishment, is imposed on the <em>Convict</em> by a <em>Court</em>, usually represented by a judge.",<p class='list-group-item'>The judge  <span id='phrase_example'>sentenced</span>  Martha Stewart   to 2 years in prison   for insider trading .</p>
f:Becoming_visible,An <em>Entity</em> that is previously not visible to a <em>Perceiver</em> becomes visible.,<p class='list-group-item'>The armada  <span id='phrase_example'>appeared</span>  on the horizon   at sunset .</p><p class='list-group-item'></p><p class='list-group-item'>The captain ordered his men to dig at the X and  the corner of a chest  <span id='phrase_example'>appeared</span>.</p>
f:Give_impression,"In this class of perception words, a <em>Phenomenon</em>, typically expressed as External Argument, and its perceptual characteristics are given some description.  This may be a <em>Characterization</em> describing purely perceptual properties, an <em>Appraisal</em> (i.e. positive or negative judgment) or an <em>Inference</em> about some non-perceptual property based on the <em>Perceiver_passive</em>'s perception.","<p class='list-group-item'>There's a hamburger bar open, and  it  <span id='phrase_example'>smells</span>  real good .</p><p class='list-group-item'></p><p class='list-group-item'> What we drank then  <span id='phrase_example'>tasted</span>  like sulphur and ox blood .</p>"
f:Circumscribed_existence,"An <em>Entity</em> is understood to be experienceable within a particular set of delimited <em>Circumstances</em>, which may be more narrowly expressed by a <em>Time</em>, <em>Place</em>.",<p class='list-group-item'>This type of behavior  <span id='phrase_example'>occurs</span>  in several primate mating rituals .</p><p class='list-group-item'> Craft beers  have started to <span id='phrase_example'>appear</span>  in grocery stores all over the country .</p>
f:Making_arrangements,An <em>Agent</em> performs a series of unspecified tasks to plan for an <em>Event</em> to take place at a <em>Scheduled_time</em> and <em>Place</em>.,<p class='list-group-item'>I 've <span id='phrase_example'>arranged</span>  a breakfast meeting   for you   tomorrow morning   with Mr. Huntsberger .</p><p class='list-group-item'></p><p class='list-group-item'> Kevin and Beth  <span id='phrase_example'>organized</span>  the graduate student conference   this year .</p>
f:Giving,A <em>Donor</em> transfers a <em>Theme</em> from a <em>Donor</em> to a <em>Recipient</em>.  This frame includes only actions that are initiated by the <em>Donor</em> (the one that starts out owning the <em>Theme</em>).  Sentences (even metaphorical ones) must meet the following entailments: the  <em>Donor</em> first has possession of the <em>Theme</em>.  Following the transfer the <em>Donor</em> no longer has the <em>Theme</em> and the <em>Recipient</em> does.,<p class='list-group-item'>Barney  <span id='phrase_example'>gave</span>  the beer   to Moe . </p><p class='list-group-item'> $300  was <span id='phrase_example'>endowed</span>  to the university   to build a new performing arts building .</p>
f:Alternatives,"There exist a number of different possible <em>Situation</em>s that may happen in the future.  (In some cases, the <em>Situation</em> is concurrent or past, and only the knowledge of which has happened is in the future.)  In most cases, there is an <em>Agent</em> involved who has to consider which of the possible <em>Situation</em>s will or should occur.  A <em>Salient_entity</em> which is deeply involved in the <em>Situation</em> may also be mentioned.",<p class='list-group-item'>You  <ment>have</ment>  but two  <span id='phrase_example'> choices </span>  for your daughter  .</p>
f:Tool_purpose,"A living entity intends a <em>Tool</em> to be able to fulfill a generic <em>Purpose</em>.  The material from which the tool is created can be something natural or something manmade, including another tool.",<p class='list-group-item'>The <span id='phrase_example'>use</span>  of a saw  <m>is</m>  to cut down trees .</p>
f:Ingest_substance,In this frame an <em>Ingestor</em> takes a <em>Substance</em> into his or her body. The <em>Delivery_device</em> can appear as a direct object.,<p class='list-group-item'>You  should refrain from <span id='phrase_example'>taking</span>  vodka   up the nose .</p><p class='list-group-item'></p><p class='list-group-item'><span id='phrase_example'>Smoking</span>  a cigarette  only takes a couple of minutes .  CNI</p>
f:Treating_and_mistreating,"In this frame an <em>Agent</em> is evaluated as behaving toward an <em>Affected_Party</em> in some <em>Manner</em>, which may or may not be incorporated into the target LU.",<p class='list-group-item'>Douglas  always <span id='phrase_example'>treated</span>  Mary   well .</p>
f:Being_obligated,"Under some <em>Condition</em>, usually left implicit, a <em>Responsible party</em> is required to perform some <em>Duty</em>.  If they do not perform the <em>Duty</em>, there may be some undesirable <em>Consequence</em>, which may or may not be stated overtly.",<p class='list-group-item'>It   is   my  <span id='phrase_example'>duty</span>  to fight any attack on the Brotherhood  . </p><p class='list-group-item'> This country  has the <span id='phrase_example'>responsibility</span>  to support its citizens' right to express themselves . </p><p class='list-group-item'> I  am <span id='phrase_example'>obligated</span>  to pay   or they'll double the fine . </p>
f:Simultaneity,"Two <em>Events</em> happen at the same time.  This may either be construed symmetrically as a relation holding between the <em>Events</em>, or asymmetrically as holding between a <em>Landmark event</em> whose known occurrence is used to describe when a <em>Profiled event</em> took place.",<p class='list-group-item'>These events  <span id='phrase_example'>coincided</span>.</p>
f:Recovery,These words describe the recovery or healing of a <em>Patient</em> from an <em>Affliction</em> without reference to the influence of any Treatment or Healer (see the Cure frame).,"<p class='list-group-item'>My injuries  had not yet  completely  <span id='phrase_example'>healed</span>. </p><p class='list-group-item'> Henley MP Michael Heseltine , <span id='phrase_example'>recovering</span>  from a heart attack  got a very public get well card.</p>"
f:Scheduling,An <em>Agent</em> schedules an <em>Event</em> to take place at a specified <em>Scheduled time</em> and <em>Place</em>.,<p class='list-group-item'>Gina  <span id='phrase_example'>scheduled</span>  a dentist appointment   for Monday   in Berkeley . </p><p class='list-group-item'> Christa  <span id='phrase_example'>set</span> <span id='phrase_example'>up</span>  an afternoon meeting   to discuss the new prototype .</p>
f:Calendric_unit,"Words in this frame name the different parts of the calendric cycle, both man-made and natural. The <em>Unit</em> (e.g. <m>Tuesday</m>) specifies some time period as part of a specific larger temporal <em>Whole</em> (Tuesday <m>of next week</m>), or may be resolved to an exact time span by a <em>Relative time</em> (<m>next</m> Tuesday).","<p class='list-group-item'>Jo's mother will visit on  this coming   <span id='phrase_example'>Tuesday</span> . </p><p class='list-group-item'>On <span id='phrase_example'> April </span> 2 , she finally found her mother .  DNI .   </p><p class='list-group-item'>I 'll come back in  <span id='phrase_example'>April</span>  . DNI  </p><p class='list-group-item'>On  Tuesday and Thursday  <span id='phrase_example'>afternoons</span> , we have tea . </p><p class='list-group-item'>On <span id='phrase_example'>Tuesdays</span> , we have tea .  INI   </p><p class='list-group-item'> Last  <span id='phrase_example'> Tuesday </span> she said I 'd have to come back . </p><p class='list-group-item'> Last <span id='phrase_example'>Tuesday</span>   she said I 'd have to come back  . </p>"
f:Hearsay,"The <em>Hearer</em> receives a <em>Message</em> or communication on a particular <em>Topic</em>. Words in this frame denote events of verbal communication, but express the <em>Hearer</em> rather than the <em>Speaker</em> as an External Argument.",<p class='list-group-item'>Teenage fans  first <span id='phrase_example'>heard</span>  about the tragedy   on a popular radio show .   </p><p class='list-group-item'> Teenage fans  first <span id='phrase_example'>heard</span>  the tragic news   on a popular radio show</p>
f:Excreting,An <em>Excreter</em> excretes <em>Excreta</em>.,<p class='list-group-item'>Principal Skinner  <span id='phrase_example'>burped</span>  on me . </p><p class='list-group-item'> Lenny and Karl  <span id='phrase_example'>pee</span>  three times a day .</p>
f:Provide_lodging,A <em>Host</em> provides a temporary <em>Residence</em> for a <em>Lodger</em>.,<p class='list-group-item'>We  <span id='phrase_example'>housed</span>  her   in our home   for a while .</p>
f:Coincidence,"A State of affairs (a state or event) either holds or occurs, and is presented as being causally independent of other (implicit) states or events that might otherwise have been expected to be causally related to the State of affairs. The Time or Place may also be mentioned.",<p class='list-group-item'>That they got the same answers  is just a <span id='phrase_example'>coincidence</span>.</p>
f:Bail_decision,"This frame covers a step in a criminal process in which a  <em>Judge</em> decides whether the <em>Accused</em> should be released on bail, and, if so, what the amount of the bail should be.","<p class='list-group-item'>Thorsen, of Grimstad, Norway , was <m>granted</m>  $100,000  <span id='phrase_example'>bail</span> until June 18. </p><p class='list-group-item'> He  was <m>granted</m>  conditional  <span id='phrase_example'>bail</span>  by Teesside Magistrates .</p>"
f:Biological_mechanisms,A trigger mechanism brings about a change in a biological system.,<p class='list-group-item'>The reflex  <span id='phrase_example'>increases</span>  cardiac output .</p>
f:Accomplishment,"After a period in which the <em>Agent</em> has been working on a <em>Goal</em>, the <em>Agent</em> manages to attain it.  The <em>Goal</em> may be a desired state, or be conceptualized as an event.","<p class='list-group-item'>Jeremey   obediently  <span id='phrase_example'>accomplished</span>  this task . </p><p class='list-group-item'>In response, the Prime Minister has simply cited  his   free-market  <span id='phrase_example'> accomplishments </span>.</p>"
f:Fire_burning,"A <em>Fire</em> burns <em>Fuel</em>, resulting in damage and possibly complete destruction of the <em>Fuel</em>.","<p class='list-group-item'>A fire that started on Saturday afternoon, the High Glade Fire - located on the Mendocino National Forest's Upper Lake Ranger District  - continued to <span id='phrase_example'>burn</span>  actively   on Sunday . </p><p class='list-group-item'>Since the <span id='phrase_example'>fire</span> is  near a road  and also  on part of the Appalachian Trail , the Forest Service said a main concern is the safety of the public.</p>"
f:Rebellion,"An individual or group, the Rebel, rejects the authority of the Current leadership, and attempts to bring them out of power. The rebellion may, but need not be violent. Rather than expressing rebellion against the Current leadership, the lexical units in this frame may appear with expressions describing the Current order, the system of rule which the Rebels reject.","<p class='list-group-item'>In 1641 there was a  Catholic  <span id='phrase_example'>rebellion</span>  against the Protestants of Ulster , and English authority over the island was shaken. </p><p class='list-group-item'>How do they justify  their   armed  <span id='phrase_example'>insurgency</span>?</p>"
f:Containers,"This frame covers entities which are prototypically conceived of and created to fulfill the function of containing--i.e. <em>Container</em>s  that contain objects or substances, the <em>Contents</em>.  This can be expressed as a complement , and includes potential or intended contents.   A <em>Container</em> may also have an <em>Owner</em>, a current <em>Relative location</em>, <em>Material</em> from which it is constructed, a method of <em>Construction</em>, and a <em>Type</em>.  Note the connection between words in this frame and those in the Filling, Emptying, and Fullness frames.",<p class='list-group-item'>a  <span id='phrase_example'>bag</span>   of popcorn  </p><p class='list-group-item'> underwear   <span id='phrase_example'>drawer</span>  </p><p class='list-group-item'> Chuck's   <span id='phrase_example'>suitcase</span>  </p><p class='list-group-item'> the <span id='phrase_example'>suitcase</span>   in Chuck's office  </p><p class='list-group-item'> straw   <span id='phrase_example'>basket</span>  </p><p class='list-group-item'> woven   <span id='phrase_example'>basket</span>  </p><p class='list-group-item'> Erlenmeyer   <span id='phrase_example'>flask</span></p>
f:Seeking,A <em>Cognizer agent</em> attempts to find some <em>Sought entity</em> by examining some <em>Ground</em>.  The success or failure of this activity (the <em>Outcome</em>) may be indicated.,<p class='list-group-item'>John  <span id='phrase_example'>looked</span>  for his pencil .</p>
f:Freeing_from_confinement,"An <em>Agent</em> causes a <em>Theme</em> which was held captive to be free from a <em>Location of confinement</em>, against the wishes of the captors.",<p class='list-group-item'>Two men disguised as guards  <span id='phrase_example'>sprung</span>  a convicted killer   from prison   last night .</p>
f:Suasion,"A <em>Speaker</em> succeeds in getting an <em>Addressee</em> to believe or plan to execute the <em>Content</em> the <em>Speaker</em> has in mind. In most cases, the information is related to some course of action for the <em>Addressee</em>, and the words of this frame imply that the <em>Addressee</em> has formed an intention to act consistently with the <em>Content</em>. There is no implication that the <em>Addressee</em> actually acts upon the intention formed. In the case of convince and persuade, the act that the <em>Speaker</em> wishes the <em>Addressee</em> to perform can be the adoption of a belief, which may be expressed as a that-clause or as an of-PP complement.","<p class='list-group-item'>At one point,  Walter  tries to <span id='phrase_example'>convince</span>  his wife   that he has had a story accepted by BBC Radio . </p><p class='list-group-item'> They  invaded the bridge, but were <span id='phrase_example'>dissuaded</span>  from further action   by the captain .</p>"
f:Facial_expression,The words in this frame refer to facial <em>Expression</em>s and the <em>Possessor</em>s of those <em>Expression</em>s.,<p class='list-group-item'>His   lackluster   <span id='phrase_example'>smile</span>   revealed his disappointment .</p>
f:Body_parts,"This frame covers words for <em>Body part</em>(s) (BP) belonging to a <em>Possessor</em> (Poss), which may be characterized by a <em>Descriptor</em> (Desc). The location of the BP may be identified in terms of  its <em>Attachment</em> or its <em>Orientational location</em>.  A <em>Subregion</em> of a BP may also be indicated.",<p class='list-group-item'>He had to brace  his   right  <span id='phrase_example'> arm </span> against his leg in order to fight the roll. </p><p class='list-group-item'>The dog measured  its   blond  <span id='phrase_example'> belly </span> in the mud.</p>
